feature,status,evidence
direction_lag_3,UNSUPPORTED,"permutation_hurts_validation=n; drop_group_hurts_oof=n; effect_in_ge_folds_ge4=n; improvement_ci_not_crossing_zero=n; stable_effect_direction=n; no_leakage_no_missingness_proxy=Y; holds_after_correlations=Y; paired_trading_economics_impact=Y; grp[sequence]LL=0.00370 CI=[-0.00281,0.01174] folds+=3; grp[sequence]net=0.03686 CI=[0.00690,0.07238]"
dist_to_high_24,UNSTABLE,"permutation_hurts_validation=n; drop_group_hurts_oof=Y; effect_in_ge_folds_ge4=Y; improvement_ci_not_crossing_zero=Y; stable_effect_direction=Y; no_leakage_no_missingness_proxy=Y; holds_after_correlations=Y; paired_trading_economics_impact=n; grp[cross_asset_breadth]LL=0.01338 CI=[0.00070,0.03362] folds+=4; grp[cross_asset_breadth]net=0.03115 CI=[-0.00194,0.07750]; perm=-0.000019 CI=[-0.000176,0.000148] spos=0.14; sign_stab=0.81"
dist_to_high_96,UNSTABLE,"permutation_hurts_validation=n; drop_group_hurts_oof=Y; effect_in_ge_folds_ge4=Y; improvement_ci_not_crossing_zero=Y; stable_effect_direction=n; no_leakage_no_missingness_proxy=Y; holds_after_correlations=Y; paired_trading_economics_impact=n; grp[cross_asset_breadth]LL=0.01338 CI=[0.00070,0.03362] folds+=4; grp[cross_asset_breadth]net=0.03115 CI=[-0.00194,0.07750]"
dist_to_low_24,UNSTABLE,"permutation_hurts_validation=n; drop_group_hurts_oof=Y; effect_in_ge_folds_ge4=Y; improvement_ci_not_crossing_zero=Y; stable_effect_direction=Y; no_leakage_no_missingness_proxy=Y; holds_after_correlations=Y; paired_trading_economics_impact=n; grp[cross_asset_breadth]LL=0.01338 CI=[0.00070,0.03362] folds+=4; grp[cross_asset_breadth]net=0.03115 CI=[-0.00194,0.07750]; perm=0.000219 CI=[-0.000010,0.000485] spos=0.45; sign_stab=1.00"
dist_to_low_96,UNSTABLE,"permutation_hurts_validation=n; drop_group_hurts_oof=Y; effect_in_ge_folds_ge4=Y; improvement_ci_not_crossing_zero=Y; stable_effect_direction=n; no_leakage_no_missingness_proxy=Y; holds_after_correlations=Y; paired_trading_economics_impact=n; grp[cross_asset_breadth]LL=0.01338 CI=[0.00070,0.03362] folds+=4; grp[cross_asset_breadth]net=0.03115 CI=[-0.00194,0.07750]"
dow,REDUNDANT,"permutation_hurts_validation=n; drop_group_hurts_oof=n; effect_in_ge_folds_ge4=n; improvement_ci_not_crossing_zero=n; stable_effect_direction=n; no_leakage_no_missingness_proxy=Y; holds_after_correlations=n; paired_trading_economics_impact=Y; grp[sequence]LL=0.00370 CI=[-0.00281,0.01174] folds+=3; grp[sequence]net=0.03686 CI=[0.00690,0.07238]; near_dup_ge4: day_of_week:1.00/5f"
dow_cos,UNSUPPORTED,"permutation_hurts_validation=n; drop_group_hurts_oof=n; effect_in_ge_folds_ge4=n; improvement_ci_not_crossing_zero=n; stable_effect_direction=n; no_leakage_no_missingness_proxy=Y; holds_after_correlations=Y; paired_trading_economics_impact=Y; grp[time]LL=0.00742 CI=[-0.00124,0.02212] folds+=2; grp[time]net=0.03295 CI=[0.00530,0.07612]; perm=-0.000000 CI=[-0.000001,0.000000] spos=0.00; sign_stab=0.55"
dow_sin,UNSUPPORTED,"permutation_hurts_validation=n; drop_group_hurts_oof=n; effect_in_ge_folds_ge4=n; improvement_ci_not_crossing_zero=n; stable_effect_direction=n; no_leakage_no_missingness_proxy=Y; holds_after_correlations=Y; paired_trading_economics_impact=Y; grp[time]LL=0.00742 CI=[-0.00124,0.02212] folds+=2; grp[time]net=0.03295 CI=[0.00530,0.07612]; perm=0.000005 CI=[-0.000000,0.000011] spos=0.18; sign_stab=0.62"
ema_ratio_9_21,NO_POLICY_IMPACT,"permutation_hurts_validation=n; drop_group_hurts_oof=n; effect_in_ge_folds_ge4=Y; improvement_ci_not_crossing_zero=n; stable_effect_direction=Y; no_leakage_no_missingness_proxy=Y; holds_after_correlations=Y; paired_trading_economics_impact=n; grp[trend]LL=0.00746 CI=[-0.00184,0.02190] folds+=4; grp[trend]net=0.03323 CI=[-0.00653,0.08828]; perm=0.000031 CI=[-0.000090,0.000159] spos=0.27; sign_stab=0.80"
funding_extreme,DATA_QUALITY_BLOCKED,100% missing
funding_rate,DATA_QUALITY_BLOCKED,100% missing
funding_rate_ma3,DATA_QUALITY_BLOCKED,100% missing
high_price_final,DATA_QUALITY_BLOCKED,DATA_QUALITY_BLOCKED
hour_cos,UNSUPPORTED,"permutation_hurts_validation=n; drop_group_hurts_oof=n; effect_in_ge_folds_ge4=n; improvement_ci_not_crossing_zero=n; stable_effect_direction=n; no_leakage_no_missingness_proxy=Y; holds_after_correlations=Y; paired_trading_economics_impact=Y; grp[time]LL=0.00742 CI=[-0.00124,0.02212] folds+=2; grp[time]net=0.03295 CI=[0.00530,0.07612]; perm=0.000016 CI=[-0.000037,0.000071] spos=0.36; sign_stab=0.54"
hour_of_day,REDUNDANT,"permutation_hurts_validation=n; drop_group_hurts_oof=n; effect_in_ge_folds_ge4=n; improvement_ci_not_crossing_zero=n; stable_effect_direction=n; no_leakage_no_missingness_proxy=Y; holds_after_correlations=n; paired_trading_economics_impact=n; grp[regime]LL=0.01340 CI=[-0.01071,0.04861] folds+=3; grp[regime]net=0.04177 CI=[-0.03268,0.14598]; near_dup_ge4: hour_utc:1.00/5f"
hour_sin,UNSUPPORTED,"permutation_hurts_validation=n; drop_group_hurts_oof=n; effect_in_ge_folds_ge4=n; improvement_ci_not_crossing_zero=n; stable_effect_direction=n; no_leakage_no_missingness_proxy=Y; holds_after_correlations=Y; paired_trading_economics_impact=Y; grp[time]LL=0.00742 CI=[-0.00124,0.02212] folds+=2; grp[time]net=0.03295 CI=[0.00530,0.07612]; perm=0.000130 CI=[-0.000147,0.000459] spos=0.36; sign_stab=0.53"
hour_utc,REDUNDANT,"permutation_hurts_validation=n; drop_group_hurts_oof=n; effect_in_ge_folds_ge4=n; improvement_ci_not_crossing_zero=n; stable_effect_direction=n; no_leakage_no_missingness_proxy=Y; holds_after_correlations=n; paired_trading_economics_impact=n; grp[regime]LL=0.01340 CI=[-0.01071,0.04861] folds+=3; grp[regime]net=0.04177 CI=[-0.03268,0.14598]; near_dup_ge4: hour_of_day:1.00/5f"
is_final_phase,DATA_QUALITY_BLOCKED,"CONSTANT, DATA_QUALITY_BLOCKED"
log_moneyness,DATA_QUALITY_BLOCKED,100% missing
log_time_left,DATA_QUALITY_BLOCKED,"CONSTANT, DATA_QUALITY_BLOCKED"
mid_price,DATA_QUALITY_BLOCKED,DATA_QUALITY_BLOCKED
pm_best_ask,DATA_QUALITY_BLOCKED,DATA_QUALITY_BLOCKED
pm_best_bid,DATA_QUALITY_BLOCKED,DATA_QUALITY_BLOCKED
pm_momentum_5m,DATA_QUALITY_BLOCKED,DATA_QUALITY_BLOCKED
pm_quote_pressure,DATA_QUALITY_BLOCKED,DATA_QUALITY_BLOCKED
pm_spread_pct,DATA_QUALITY_BLOCKED,DATA_QUALITY_BLOCKED
pm_volume_5m,DATA_QUALITY_BLOCKED,"CONSTANT, DATA_QUALITY_BLOCKED"
price_deviation,DATA_QUALITY_BLOCKED,DATA_QUALITY_BLOCKED
price_deviation_sq,DATA_QUALITY_BLOCKED,DATA_QUALITY_BLOCKED
price_distance_from_max,DATA_QUALITY_BLOCKED,DATA_QUALITY_BLOCKED
price_momentum,DATA_QUALITY_BLOCKED,DATA_QUALITY_BLOCKED
price_velocity,DATA_QUALITY_BLOCKED,DATA_QUALITY_BLOCKED
price_velocity_lag1,DATA_QUALITY_BLOCKED,DATA_QUALITY_BLOCKED
range_1,UNSUPPORTED,"permutation_hurts_validation=n; drop_group_hurts_oof=n; effect_in_ge_folds_ge4=n; improvement_ci_not_crossing_zero=n; stable_effect_direction=Y; no_leakage_no_missingness_proxy=Y; holds_after_correlations=Y; paired_trading_economics_impact=Y; grp[sequence]LL=0.00370 CI=[-0.00281,0.01174] folds+=3; grp[sequence]net=0.03686 CI=[0.00690,0.07238]; perm=0.000242 CI=[-0.000076,0.000609] spos=0.45; sign_stab=0.79"
range_avg_24,UNSUPPORTED,"permutation_hurts_validation=n; drop_group_hurts_oof=n; effect_in_ge_folds_ge4=n; improvement_ci_not_crossing_zero=n; stable_effect_direction=n; no_leakage_no_missingness_proxy=Y; holds_after_correlations=Y; paired_trading_economics_impact=Y; grp[sequence]LL=0.00370 CI=[-0.00281,0.01174] folds+=3; grp[sequence]net=0.03686 CI=[0.00690,0.07238]; perm=0.000027 CI=[-0.000116,0.000173] spos=0.23; sign_stab=0.56"
ret_1,REDUNDANT,"permutation_hurts_validation=n; drop_group_hurts_oof=n; effect_in_ge_folds_ge4=Y; improvement_ci_not_crossing_zero=n; stable_effect_direction=Y; no_leakage_no_missingness_proxy=Y; holds_after_correlations=n; paired_trading_economics_impact=n; grp[price_returns]LL=0.00947 CI=[-0.00050,0.02269] folds+=4; grp[price_returns]net=0.02751 CI=[-0.00479,0.07190]; perm=0.000383 CI=[-0.000061,0.000952] spos=0.41; sign_stab=0.79; near_dup_ge4: signed_body_pct:1.00/5f"
ret_12,NO_POLICY_IMPACT,"permutation_hurts_validation=n; drop_group_hurts_oof=n; effect_in_ge_folds_ge4=Y; improvement_ci_not_crossing_zero=n; stable_effect_direction=n; no_leakage_no_missingness_proxy=Y; holds_after_correlations=Y; paired_trading_economics_impact=n; grp[price_returns]LL=0.00947 CI=[-0.00050,0.02269] folds+=4; grp[price_returns]net=0.02751 CI=[-0.00479,0.07190]"
ret_24,NO_POLICY_IMPACT,"permutation_hurts_validation=n; drop_group_hurts_oof=n; effect_in_ge_folds_ge4=Y; improvement_ci_not_crossing_zero=n; stable_effect_direction=n; no_leakage_no_missingness_proxy=Y; holds_after_correlations=Y; paired_trading_economics_impact=n; grp[price_returns]LL=0.00947 CI=[-0.00050,0.02269] folds+=4; grp[price_returns]net=0.02751 CI=[-0.00479,0.07190]"
ret_3,NO_POLICY_IMPACT,"permutation_hurts_validation=n; drop_group_hurts_oof=n; effect_in_ge_folds_ge4=Y; improvement_ci_not_crossing_zero=n; stable_effect_direction=Y; no_leakage_no_missingness_proxy=Y; holds_after_correlations=Y; paired_trading_economics_impact=n; grp[price_returns]LL=0.00947 CI=[-0.00050,0.02269] folds+=4; grp[price_returns]net=0.02751 CI=[-0.00479,0.07190]; perm=-0.000205 CI=[-0.000850,0.000479] spos=0.27; sign_stab=0.89"
ret_48,NO_POLICY_IMPACT,"permutation_hurts_validation=n; drop_group_hurts_oof=n; effect_in_ge_folds_ge4=Y; improvement_ci_not_crossing_zero=n; stable_effect_direction=n; no_leakage_no_missingness_proxy=Y; holds_after_correlations=Y; paired_trading_economics_impact=n; grp[price_returns]LL=0.00947 CI=[-0.00050,0.02269] folds+=4; grp[price_returns]net=0.02751 CI=[-0.00479,0.07190]"
ret_6,NO_POLICY_IMPACT,"permutation_hurts_validation=n; drop_group_hurts_oof=n; effect_in_ge_folds_ge4=Y; improvement_ci_not_crossing_zero=n; stable_effect_direction=n; no_leakage_no_missingness_proxy=Y; holds_after_correlations=Y; paired_trading_economics_impact=n; grp[price_returns]LL=0.00947 CI=[-0.00050,0.02269] folds+=4; grp[price_returns]net=0.02751 CI=[-0.00479,0.07190]; perm=0.000224 CI=[-0.000238,0.000872] spos=0.27; sign_stab=0.69"
rsi_14,NO_POLICY_IMPACT,"permutation_hurts_validation=n; drop_group_hurts_oof=n; effect_in_ge_folds_ge4=Y; improvement_ci_not_crossing_zero=n; stable_effect_direction=n; no_leakage_no_missingness_proxy=Y; holds_after_correlations=Y; paired_trading_economics_impact=n; grp[trend]LL=0.00746 CI=[-0.00184,0.02190] folds+=4; grp[trend]net=0.03323 CI=[-0.00653,0.08828]; perm=-0.000159 CI=[-0.000471,0.000078] spos=0.27; sign_stab=0.50"
signed_body_pct,REDUNDANT,"permutation_hurts_validation=n; drop_group_hurts_oof=n; effect_in_ge_folds_ge4=n; improvement_ci_not_crossing_zero=n; stable_effect_direction=n; no_leakage_no_missingness_proxy=Y; holds_after_correlations=n; paired_trading_economics_impact=Y; grp[sequence]LL=0.00370 CI=[-0.00281,0.01174] folds+=3; grp[sequence]net=0.03686 CI=[0.00690,0.07238]; near_dup_ge4: ret_1:1.00/5f"
signed_trend_efficiency_6,UNSUPPORTED,"permutation_hurts_validation=n; drop_group_hurts_oof=n; effect_in_ge_folds_ge4=n; improvement_ci_not_crossing_zero=n; stable_effect_direction=n; no_leakage_no_missingness_proxy=Y; holds_after_correlations=Y; paired_trading_economics_impact=Y; grp[sequence]LL=0.00370 CI=[-0.00281,0.01174] folds+=3; grp[sequence]net=0.03686 CI=[0.00690,0.07238]"
spread,DATA_QUALITY_BLOCKED,DATA_QUALITY_BLOCKED
spread_pct,DATA_QUALITY_BLOCKED,DATA_QUALITY_BLOCKED
spread_trend,DATA_QUALITY_BLOCKED,DATA_QUALITY_BLOCKED
strike_gap_pct,DATA_QUALITY_BLOCKED,100% missing
taker_buy_ratio,REDUNDANT,"permutation_hurts_validation=n; drop_group_hurts_oof=Y; effect_in_ge_folds_ge4=n; improvement_ci_not_crossing_zero=Y; stable_effect_direction=n; no_leakage_no_missingness_proxy=Y; holds_after_correlations=n; paired_trading_economics_impact=n; grp[volume_taker_flow]LL=0.00641 CI=[0.00009,0.01579] folds+=3; grp[volume_taker_flow]net=0.01504 CI=[-0.02231,0.06317]; perm=0.000027 CI=[-0.000058,0.000153] spos=0.41; sign_stab=0.62; near_dup_ge4: cvd_1:1.00/5f"
time_left_min,DATA_QUALITY_BLOCKED,"CONSTANT, DATA_QUALITY_BLOCKED"
time_phase,DATA_QUALITY_BLOCKED,"CONSTANT, DATA_QUALITY_BLOCKED"
up_ratio_4,UNSUPPORTED,"permutation_hurts_validation=n; drop_group_hurts_oof=n; effect_in_ge_folds_ge4=n; improvement_ci_not_crossing_zero=n; stable_effect_direction=n; no_leakage_no_missingness_proxy=Y; holds_after_correlations=Y; paired_trading_economics_impact=Y; grp[sequence]LL=0.00370 CI=[-0.00281,0.01174] folds+=3; grp[sequence]net=0.03686 CI=[0.00690,0.07238]"
velocity_x_phase,DATA_QUALITY_BLOCKED,DATA_QUALITY_BLOCKED
vol_24,NO_POLICY_IMPACT,"permutation_hurts_validation=n; drop_group_hurts_oof=n; effect_in_ge_folds_ge4=n; improvement_ci_not_crossing_zero=n; stable_effect_direction=n; no_leakage_no_missingness_proxy=Y; holds_after_correlations=Y; paired_trading_economics_impact=n; grp[volatility]LL=0.00735 CI=[-0.00107,0.01857] folds+=3; grp[volatility]net=0.01864 CI=[-0.00274,0.04404]; perm=-0.000257 CI=[-0.000690,-0.000011] spos=0.23; sign_stab=0.69"
vol_48,NO_POLICY_IMPACT,"permutation_hurts_validation=n; drop_group_hurts_oof=n; effect_in_ge_folds_ge4=n; improvement_ci_not_crossing_zero=n; stable_effect_direction=n; no_leakage_no_missingness_proxy=Y; holds_after_correlations=Y; paired_trading_economics_impact=n; grp[volatility]LL=0.00735 CI=[-0.00107,0.01857] folds+=3; grp[volatility]net=0.01864 CI=[-0.00274,0.04404]"
vol_6,UNSUPPORTED,"permutation_hurts_validation=Y; drop_group_hurts_oof=n; effect_in_ge_folds_ge4=n; improvement_ci_not_crossing_zero=n; stable_effect_direction=n; no_leakage_no_missingness_proxy=Y; holds_after_correlations=Y; paired_trading_economics_impact=n; grp[volatility]LL=0.00735 CI=[-0.00107,0.01857] folds+=3; grp[volatility]net=0.01864 CI=[-0.00274,0.04404]; perm=0.000251 CI=[0.000017,0.000646] spos=0.32; sign_stab=0.62"
vol_ratio,NO_POLICY_IMPACT,"permutation_hurts_validation=n; drop_group_hurts_oof=n; effect_in_ge_folds_ge4=n; improvement_ci_not_crossing_zero=n; stable_effect_direction=n; no_leakage_no_missingness_proxy=Y; holds_after_correlations=Y; paired_trading_economics_impact=n; grp[volatility]LL=0.00735 CI=[-0.00107,0.01857] folds+=3; grp[volatility]net=0.01864 CI=[-0.00274,0.04404]"
vol_trend,NO_POLICY_IMPACT,"permutation_hurts_validation=n; drop_group_hurts_oof=n; effect_in_ge_folds_ge4=n; improvement_ci_not_crossing_zero=n; stable_effect_direction=n; no_leakage_no_missingness_proxy=Y; holds_after_correlations=Y; paired_trading_economics_impact=n; grp[volatility]LL=0.00735 CI=[-0.00107,0.01857] folds+=3; grp[volatility]net=0.01864 CI=[-0.00274,0.04404]"
vol_z_1,NO_POLICY_IMPACT,"permutation_hurts_validation=n; drop_group_hurts_oof=n; effect_in_ge_folds_ge4=n; improvement_ci_not_crossing_zero=n; stable_effect_direction=n; no_leakage_no_missingness_proxy=Y; holds_after_correlations=Y; paired_trading_economics_impact=n; grp[volatility]LL=0.00735 CI=[-0.00107,0.01857] folds+=3; grp[volatility]net=0.01864 CI=[-0.00274,0.04404]; perm=0.000463 CI=[-0.000108,0.001216] spos=0.36; sign_stab=0.62"
vol_z_6,NO_POLICY_IMPACT,"permutation_hurts_validation=n; drop_group_hurts_oof=n; effect_in_ge_folds_ge4=n; improvement_ci_not_crossing_zero=n; stable_effect_direction=n; no_leakage_no_missingness_proxy=Y; holds_after_correlations=Y; paired_trading_economics_impact=n; grp[volatility]LL=0.00735 CI=[-0.00107,0.01857] folds+=3; grp[volatility]net=0.01864 CI=[-0.00274,0.04404]"
volume_5min,DATA_QUALITY_BLOCKED,"CONSTANT, DATA_QUALITY_BLOCKED"
volume_trend,DATA_QUALITY_BLOCKED,"CONSTANT, DATA_QUALITY_BLOCKED"
