"model_registry_id","calibration_method","feature_variant","C","class_weight","sample_weight","coverage","fold_information","artifact_id","evaluation_protocol_version","status","reason","evidence"
"821","RAW","DERIVED",,,,"1",,,"polymarket_logreg_eval_v1","RETRAIN_REQUIRED","DERIVED feature variant is not persisted; only BASE features are available.","Snapshot persists only BASE features mid_price,spread,time_left_min; no DERIVED artifact or fold-level feature evidence."
"821","RAW","LAGS",,,,"1",,,"polymarket_logreg_eval_v1","RETRAIN_REQUIRED","LAGS feature variant is not persisted; only BASE features are available.","Snapshot persists only BASE features mid_price,spread,time_left_min; no LAGS artifact or fold-level feature evidence."
"821","RAW","SEQUENCE",,,,"1",,,"polymarket_logreg_eval_v1","RETRAIN_REQUIRED","SEQUENCE feature variant is not persisted; sequence_coverage=1.0 alone does not prove a persisted sequence artifact.","Snapshot persists only BASE features mid_price,spread,time_left_min; no SEQUENCE artifact or fold-level feature evidence."
"821","PLATT","BASE","0,1",,"uniform","1","GROUPED_WALK_FORWARD; fold_id not persisted","81","polymarket_logreg_eval_v1","REPLAY_READY","Persisted training_params.calibration_method=PLATT for this candidate.","BASE features=mid_price,spread,time_left_min; persisted PLATT assignment; calibrated_score=true; artifact is VALID_FOR_REPLAY; protocol=polymarket_logreg_eval_v1."
"821","PLATT","DERIVED",,,,"1",,,"polymarket_logreg_eval_v1","RETRAIN_REQUIRED","DERIVED feature variant is not persisted; only BASE features are available.","Snapshot persists only BASE features mid_price,spread,time_left_min; no DERIVED artifact or fold-level feature evidence."
"821","PLATT","LAGS",,,,"1",,,"polymarket_logreg_eval_v1","RETRAIN_REQUIRED","LAGS feature variant is not persisted; only BASE features are available.","Snapshot persists only BASE features mid_price,spread,time_left_min; no LAGS artifact or fold-level feature evidence."
"821","PLATT","SEQUENCE",,,,"1",,,"polymarket_logreg_eval_v1","RETRAIN_REQUIRED","SEQUENCE feature variant is not persisted; sequence_coverage=1.0 alone does not prove a persisted sequence artifact.","Snapshot persists only BASE features mid_price,spread,time_left_min; no SEQUENCE artifact or fold-level feature evidence."
"821","ISOTONIC","BASE","0,1",,"uniform","1","GROUPED_WALK_FORWARD; fold_id not persisted","81","polymarket_logreg_eval_v1","RETRAIN_REQUIRED","ISOTONIC requires retraining with persisted fold_id and calibration membership.","Step 3 commit 79bc49c: fold_id and train/calibration/validation membership are absent for all 60 candidates; no retrospective Isotonic."
"821","ISOTONIC","DERIVED",,,,"1",,,"polymarket_logreg_eval_v1","RETRAIN_REQUIRED","DERIVED feature variant is not persisted; only BASE features are available.","Snapshot persists only BASE features mid_price,spread,time_left_min; no DERIVED artifact or fold-level feature evidence."
"821","ISOTONIC","LAGS",,,,"1",,,"polymarket_logreg_eval_v1","RETRAIN_REQUIRED","LAGS feature variant is not persisted; only BASE features are available.","Snapshot persists only BASE features mid_price,spread,time_left_min; no LAGS artifact or fold-level feature evidence."
"821","ISOTONIC","SEQUENCE",,,,"1",,,"polymarket_logreg_eval_v1","RETRAIN_REQUIRED","SEQUENCE feature variant is not persisted; sequence_coverage=1.0 alone does not prove a persisted sequence artifact.","Snapshot persists only BASE features mid_price,spread,time_left_min; no SEQUENCE artifact or fold-level feature evidence."
"822","RAW","BASE","0,1",,"time_decay(tau=5)","1","GROUPED_WALK_FORWARD; fold_id not persisted","82","polymarket_logreg_eval_v1","REPLAY_READY","RAW score is persisted and the OOF artifact is VALID_FOR_REPLAY.","BASE features=mid_price,spread,time_left_min; raw_score=true; artifact is VALID_FOR_REPLAY; protocol=polymarket_logreg_eval_v1; fold_id is not persisted but RAW replay does not require retrospective calibration."
"822","RAW","DERIVED",,,,"1",,,"polymarket_logreg_eval_v1","RETRAIN_REQUIRED","DERIVED feature variant is not persisted; only BASE features are available.","Snapshot persists only BASE features mid_price,spread,time_left_min; no DERIVED artifact or fold-level feature evidence."
"822","RAW","LAGS",,,,"1",,,"polymarket_logreg_eval_v1","RETRAIN_REQUIRED","LAGS feature variant is not persisted; only BASE features are available.","Snapshot persists only BASE features mid_price,spread,time_left_min; no LAGS artifact or fold-level feature evidence."
"822","RAW","SEQUENCE",,,,"1",,,"polymarket_logreg_eval_v1","RETRAIN_REQUIRED","SEQUENCE feature variant is not persisted; sequence_coverage=1.0 alone does not prove a persisted sequence artifact.","Snapshot persists only BASE features mid_price,spread,time_left_min; no SEQUENCE artifact or fold-level feature evidence."
"822","PLATT","BASE","0,1",,"time_decay(tau=5)","1","GROUPED_WALK_FORWARD; fold_id not persisted","82","polymarket_logreg_eval_v1","RETRAIN_REQUIRED","PLATT calibration artifact is not persisted for this candidate; the persisted method is RAW.","BASE features and raw OOF score are available, but no candidate-specific PLATT assignment/calibration artifact is available."
"822","PLATT","DERIVED",,,,"1",,,"polymarket_logreg_eval_v1","RETRAIN_REQUIRED","DERIVED feature variant is not persisted; only BASE features are available.","Snapshot persists only BASE features mid_price,spread,time_left_min; no DERIVED artifact or fold-level feature evidence."
"822","PLATT","LAGS",,,,"1",,,"polymarket_logreg_eval_v1","RETRAIN_REQUIRED","LAGS feature variant is not persisted; only BASE features are available.","Snapshot persists only BASE features mid_price,spread,time_left_min; no LAGS artifact or fold-level feature evidence."
"822","PLATT","SEQUENCE",,,,"1",,,"polymarket_logreg_eval_v1","RETRAIN_REQUIRED","SEQUENCE feature variant is not persisted; sequence_coverage=1.0 alone does not prove a persisted sequence artifact.","Snapshot persists only BASE features mid_price,spread,time_left_min; no SEQUENCE artifact or fold-level feature evidence."
"822","ISOTONIC","BASE","0,1",,"time_decay(tau=5)","1","GROUPED_WALK_FORWARD; fold_id not persisted","82","polymarket_logreg_eval_v1","RETRAIN_REQUIRED","ISOTONIC requires retraining with persisted fold_id and calibration membership.","Step 3 commit 79bc49c: fold_id and train/calibration/validation membership are absent for all 60 candidates; no retrospective Isotonic."
"822","ISOTONIC","DERIVED",,,,"1",,,"polymarket_logreg_eval_v1","RETRAIN_REQUIRED","DERIVED feature variant is not persisted; only BASE features are available.","Snapshot persists only BASE features mid_price,spread,time_left_min; no DERIVED artifact or fold-level feature evidence."
"822","ISOTONIC","LAGS",,,,"1",,,"polymarket_logreg_eval_v1","RETRAIN_REQUIRED","LAGS feature variant is not persisted; only BASE features are available.","Snapshot persists only BASE features mid_price,spread,time_left_min; no LAGS artifact or fold-level feature evidence."
"822","ISOTONIC","SEQUENCE",,,,"1",,,"polymarket_logreg_eval_v1","RETRAIN_REQUIRED","SEQUENCE feature variant is not persisted; sequence_coverage=1.0 alone does not prove a persisted sequence artifact.","Snapshot persists only BASE features mid_price,spread,time_left_min; no SEQUENCE artifact or fold-level feature evidence."
"823","RAW","BASE","0,1",,"uniform","1","GROUPED_WALK_FORWARD; fold_id not persisted","83","polymarket_logreg_eval_v1","REPLAY_READY","RAW score is persisted and the OOF artifact is VALID_FOR_REPLAY.","BASE features=mid_price,spread,time_left_min; raw_score=true; artifact is VALID_FOR_REPLAY; protocol=polymarket_logreg_eval_v1; fold_id is not persisted but RAW replay does not require retrospective calibration."
"823","RAW","DERIVED",,,,"1",,,"polymarket_logreg_eval_v1","RETRAIN_REQUIRED","DERIVED feature variant is not persisted; only BASE features are available.","Snapshot persists only BASE features mid_price,spread,time_left_min; no DERIVED artifact or fold-level feature evidence."
"823","RAW","LAGS",,,,"1",,,"polymarket_logreg_eval_v1","RETRAIN_REQUIRED","LAGS feature variant is not persisted; only BASE features are available.","Snapshot persists only BASE features mid_price,spread,time_left_min; no LAGS artifact or fold-level feature evidence."
"823","RAW","SEQUENCE",,,,"1",,,"polymarket_logreg_eval_v1","RETRAIN_REQUIRED","SEQUENCE feature variant is not persisted; sequence_coverage=1.0 alone does not prove a persisted sequence artifact.","Snapshot persists only BASE features mid_price,spread,time_left_min; no SEQUENCE artifact or fold-level feature evidence."
"823","PLATT","BASE","0,1",,"uniform","1","GROUPED_WALK_FORWARD; fold_id not persisted","83","polymarket_logreg_eval_v1","RETRAIN_REQUIRED","PLATT calibration artifact is not persisted for this candidate; the persisted method is RAW.","BASE features and raw OOF score are available, but no candidate-specific PLATT assignment/calibration artifact is available."
"823","PLATT","DERIVED",,,,"1",,,"polymarket_logreg_eval_v1","RETRAIN_REQUIRED","DERIVED feature variant is not persisted; only BASE features are available.","Snapshot persists only BASE features mid_price,spread,time_left_min; no DERIVED artifact or fold-level feature evidence."
"823","PLATT","LAGS",,,,"1",,,"polymarket_logreg_eval_v1","RETRAIN_REQUIRED","LAGS feature variant is not persisted; only BASE features are available.","Snapshot persists only BASE features mid_price,spread,time_left_min; no LAGS artifact or fold-level feature evidence."
"823","PLATT","SEQUENCE",,,,"1",,,"polymarket_logreg_eval_v1","RETRAIN_REQUIRED","SEQUENCE feature variant is not persisted; sequence_coverage=1.0 alone does not prove a persisted sequence artifact.","Snapshot persists only BASE features mid_price,spread,time_left_min; no SEQUENCE artifact or fold-level feature evidence."
"823","ISOTONIC","BASE","0,1",,"uniform","1","GROUPED_WALK_FORWARD; fold_id not persisted","83","polymarket_logreg_eval_v1","RETRAIN_REQUIRED","ISOTONIC requires retraining with persisted fold_id and calibration membership.","Step 3 commit 79bc49c: fold_id and train/calibration/validation membership are absent for all 60 candidates; no retrospective Isotonic."
"823","ISOTONIC","DERIVED",,,,"1",,,"polymarket_logreg_eval_v1","RETRAIN_REQUIRED","DERIVED feature variant is not persisted; only BASE features are available.","Snapshot persists only BASE features mid_price,spread,time_left_min; no DERIVED artifact or fold-level feature evidence."
"823","ISOTONIC","LAGS",,,,"1",,,"polymarket_logreg_eval_v1","RETRAIN_REQUIRED","LAGS feature variant is not persisted; only BASE features are available.","Snapshot persists only BASE features mid_price,spread,time_left_min; no LAGS artifact or fold-level feature evidence."
"823","ISOTONIC","SEQUENCE",,,,"1",,,"polymarket_logreg_eval_v1","RETRAIN_REQUIRED","SEQUENCE feature variant is not persisted; sequence_coverage=1.0 alone does not prove a persisted sequence artifact.","Snapshot persists only BASE features mid_price,spread,time_left_min; no SEQUENCE artifact or fold-level feature evidence."
"824","RAW","BASE","0,1",,"uniform","1","GROUPED_WALK_FORWARD; fold_id not persisted","84","polymarket_logreg_eval_v1","REPLAY_READY","RAW score is persisted and the OOF artifact is VALID_FOR_REPLAY.","BASE features=mid_price,spread,time_left_min; raw_score=true; artifact is VALID_FOR_REPLAY; protocol=polymarket_logreg_eval_v1; fold_id is not persisted but RAW replay does not require retrospective calibration."
"824","RAW","DERIVED",,,,"1",,,"polymarket_logreg_eval_v1","RETRAIN_REQUIRED","DERIVED feature variant is not persisted; only BASE features are available.","Snapshot persists only BASE features mid_price,spread,time_left_min; no DERIVED artifact or fold-level feature evidence."
"824","RAW","LAGS",,,,"1",,,"polymarket_logreg_eval_v1","RETRAIN_REQUIRED","LAGS feature variant is not persisted; only BASE features are available.","Snapshot persists only BASE features mid_price,spread,time_left_min; no LAGS artifact or fold-level feature evidence."
"824","RAW","SEQUENCE",,,,"1",,,"polymarket_logreg_eval_v1","RETRAIN_REQUIRED","SEQUENCE feature variant is not persisted; sequence_coverage=1.0 alone does not prove a persisted sequence artifact.","Snapshot persists only BASE features mid_price,spread,time_left_min; no SEQUENCE artifact or fold-level feature evidence."
"824","PLATT","BASE","0,1",,"uniform","1","GROUPED_WALK_FORWARD; fold_id not persisted","84","polymarket_logreg_eval_v1","REPLAY_READY","Persisted training_params.calibration_method=PLATT for this candidate.","BASE features=mid_price,spread,time_left_min; persisted PLATT assignment; calibrated_score=true; artifact is VALID_FOR_REPLAY; protocol=polymarket_logreg_eval_v1."
"824","PLATT","DERIVED",,,,"1",,,"polymarket_logreg_eval_v1","RETRAIN_REQUIRED","DERIVED feature variant is not persisted; only BASE features are available.","Snapshot persists only BASE features mid_price,spread,time_left_min; no DERIVED artifact or fold-level feature evidence."
"824","PLATT","LAGS",,,,"1",,,"polymarket_logreg_eval_v1","RETRAIN_REQUIRED","LAGS feature variant is not persisted; only BASE features are available.","Snapshot persists only BASE features mid_price,spread,time_left_min; no LAGS artifact or fold-level feature evidence."
"824","PLATT","SEQUENCE",,,,"1",,,"polymarket_logreg_eval_v1","RETRAIN_REQUIRED","SEQUENCE feature variant is not persisted; sequence_coverage=1.0 alone does not prove a persisted sequence artifact.","Snapshot persists only BASE features mid_price,spread,time_left_min; no SEQUENCE artifact or fold-level feature evidence."
"824","ISOTONIC","BASE","0,1",,"uniform","1","GROUPED_WALK_FORWARD; fold_id not persisted","84","polymarket_logreg_eval_v1","RETRAIN_REQUIRED","ISOTONIC requires retraining with persisted fold_id and calibration membership.","Step 3 commit 79bc49c: fold_id and train/calibration/validation membership are absent for all 60 candidates; no retrospective Isotonic."
"824","ISOTONIC","DERIVED",,,,"1",,,"polymarket_logreg_eval_v1","RETRAIN_REQUIRED","DERIVED feature variant is not persisted; only BASE features are available.","Snapshot persists only BASE features mid_price,spread,time_left_min; no DERIVED artifact or fold-level feature evidence."
"824","ISOTONIC","LAGS",,,,"1",,,"polymarket_logreg_eval_v1","RETRAIN_REQUIRED","LAGS feature variant is not persisted; only BASE features are available.","Snapshot persists only BASE features mid_price,spread,time_left_min; no LAGS artifact or fold-level feature evidence."
"824","ISOTONIC","SEQUENCE",,,,"1",,,"polymarket_logreg_eval_v1","RETRAIN_REQUIRED","SEQUENCE feature variant is not persisted; sequence_coverage=1.0 alone does not prove a persisted sequence artifact.","Snapshot persists only BASE features mid_price,spread,time_left_min; no SEQUENCE artifact or fold-level feature evidence."
"825","RAW","BASE","0,1",,"time_decay(tau=5)","1","GROUPED_WALK_FORWARD; fold_id not persisted","85","polymarket_logreg_eval_v1","REPLAY_READY","RAW score is persisted and the OOF artifact is VALID_FOR_REPLAY.","BASE features=mid_price,spread,time_left_min; raw_score=true; artifact is VALID_FOR_REPLAY; protocol=polymarket_logreg_eval_v1; fold_id is not persisted but RAW replay does not require retrospective calibration."
"825","RAW","DERIVED",,,,"1",,,"polymarket_logreg_eval_v1","RETRAIN_REQUIRED","DERIVED feature variant is not persisted; only BASE features are available.","Snapshot persists only BASE features mid_price,spread,time_left_min; no DERIVED artifact or fold-level feature evidence."
"825","RAW","LAGS",,,,"1",,,"polymarket_logreg_eval_v1","RETRAIN_REQUIRED","LAGS feature variant is not persisted; only BASE features are available.","Snapshot persists only BASE features mid_price,spread,time_left_min; no LAGS artifact or fold-level feature evidence."
"825","RAW","SEQUENCE",,,,"1",,,"polymarket_logreg_eval_v1","RETRAIN_REQUIRED","SEQUENCE feature variant is not persisted; sequence_coverage=1.0 alone does not prove a persisted sequence artifact.","Snapshot persists only BASE features mid_price,spread,time_left_min; no SEQUENCE artifact or fold-level feature evidence."
"825","PLATT","BASE","0,1",,"time_decay(tau=5)","1","GROUPED_WALK_FORWARD; fold_id not persisted","85","polymarket_logreg_eval_v1","RETRAIN_REQUIRED","PLATT calibration artifact is not persisted for this candidate; the persisted method is RAW.","BASE features and raw OOF score are available, but no candidate-specific PLATT assignment/calibration artifact is available."
"825","PLATT","DERIVED",,,,"1",,,"polymarket_logreg_eval_v1","RETRAIN_REQUIRED","DERIVED feature variant is not persisted; only BASE features are available.","Snapshot persists only BASE features mid_price,spread,time_left_min; no DERIVED artifact or fold-level feature evidence."
"825","PLATT","LAGS",,,,"1",,,"polymarket_logreg_eval_v1","RETRAIN_REQUIRED","LAGS feature variant is not persisted; only BASE features are available.","Snapshot persists only BASE features mid_price,spread,time_left_min; no LAGS artifact or fold-level feature evidence."
"825","PLATT","SEQUENCE",,,,"1",,,"polymarket_logreg_eval_v1","RETRAIN_REQUIRED","SEQUENCE feature variant is not persisted; sequence_coverage=1.0 alone does not prove a persisted sequence artifact.","Snapshot persists only BASE features mid_price,spread,time_left_min; no SEQUENCE artifact or fold-level feature evidence."
"825","ISOTONIC","BASE","0,1",,"time_decay(tau=5)","1","GROUPED_WALK_FORWARD; fold_id not persisted","85","polymarket_logreg_eval_v1","RETRAIN_REQUIRED","ISOTONIC requires retraining with persisted fold_id and calibration membership.","Step 3 commit 79bc49c: fold_id and train/calibration/validation membership are absent for all 60 candidates; no retrospective Isotonic."
"825","ISOTONIC","DERIVED",,,,"1",,,"polymarket_logreg_eval_v1","RETRAIN_REQUIRED","DERIVED feature variant is not persisted; only BASE features are available.","Snapshot persists only BASE features mid_price,spread,time_left_min; no DERIVED artifact or fold-level feature evidence."
"825","ISOTONIC","LAGS",,,,"1",,,"polymarket_logreg_eval_v1","RETRAIN_REQUIRED","LAGS feature variant is not persisted; only BASE features are available.","Snapshot persists only BASE features mid_price,spread,time_left_min; no LAGS artifact or fold-level feature evidence."
"825","ISOTONIC","SEQUENCE",,,,"1",,,"polymarket_logreg_eval_v1","RETRAIN_REQUIRED","SEQUENCE feature variant is not persisted; sequence_coverage=1.0 alone does not prove a persisted sequence artifact.","Snapshot persists only BASE features mid_price,spread,time_left_min; no SEQUENCE artifact or fold-level feature evidence."
"826","RAW","BASE","0,1",,"uniform","1","GROUPED_WALK_FORWARD; fold_id not persisted","86","polymarket_logreg_eval_v1","REPLAY_READY","RAW score is persisted and the OOF artifact is VALID_FOR_REPLAY.","BASE features=mid_price,spread,time_left_min; raw_score=true; artifact is VALID_FOR_REPLAY; protocol=polymarket_logreg_eval_v1; fold_id is not persisted but RAW replay does not require retrospective calibration."
"826","RAW","DERIVED",,,,"1",,,"polymarket_logreg_eval_v1","RETRAIN_REQUIRED","DERIVED feature variant is not persisted; only BASE features are available.","Snapshot persists only BASE features mid_price,spread,time_left_min; no DERIVED artifact or fold-level feature evidence."
"826","RAW","LAGS",,,,"1",,,"polymarket_logreg_eval_v1","RETRAIN_REQUIRED","LAGS feature variant is not persisted; only BASE features are available.","Snapshot persists only BASE features mid_price,spread,time_left_min; no LAGS artifact or fold-level feature evidence."
"826","RAW","SEQUENCE",,,,"1",,,"polymarket_logreg_eval_v1","RETRAIN_REQUIRED","SEQUENCE feature variant is not persisted; sequence_coverage=1.0 alone does not prove a persisted sequence artifact.","Snapshot persists only BASE features mid_price,spread,time_left_min; no SEQUENCE artifact or fold-level feature evidence."
"826","PLATT","BASE","0,1",,"uniform","1","GROUPED_WALK_FORWARD; fold_id not persisted","86","polymarket_logreg_eval_v1","RETRAIN_REQUIRED","PLATT calibration artifact is not persisted for this candidate; the persisted method is RAW.","BASE features and raw OOF score are available, but no candidate-specific PLATT assignment/calibration artifact is available."
"826","PLATT","DERIVED",,,,"1",,,"polymarket_logreg_eval_v1","RETRAIN_REQUIRED","DERIVED feature variant is not persisted; only BASE features are available.","Snapshot persists only BASE features mid_price,spread,time_left_min; no DERIVED artifact or fold-level feature evidence."
"826","PLATT","LAGS",,,,"1",,,"polymarket_logreg_eval_v1","RETRAIN_REQUIRED","LAGS feature variant is not persisted; only BASE features are available.","Snapshot persists only BASE features mid_price,spread,time_left_min; no LAGS artifact or fold-level feature evidence."
"826","PLATT","SEQUENCE",,,,"1",,,"polymarket_logreg_eval_v1","RETRAIN_REQUIRED","SEQUENCE feature variant is not persisted; sequence_coverage=1.0 alone does not prove a persisted sequence artifact.","Snapshot persists only BASE features mid_price,spread,time_left_min; no SEQUENCE artifact or fold-level feature evidence."
"826","ISOTONIC","BASE","0,1",,"uniform","1","GROUPED_WALK_FORWARD; fold_id not persisted","86","polymarket_logreg_eval_v1","RETRAIN_REQUIRED","ISOTONIC requires retraining with persisted fold_id and calibration membership.","Step 3 commit 79bc49c: fold_id and train/calibration/validation membership are absent for all 60 candidates; no retrospective Isotonic."
"826","ISOTONIC","DERIVED",,,,"1",,,"polymarket_logreg_eval_v1","RETRAIN_REQUIRED","DERIVED feature variant is not persisted; only BASE features are available.","Snapshot persists only BASE features mid_price,spread,time_left_min; no DERIVED artifact or fold-level feature evidence."
"826","ISOTONIC","LAGS",,,,"1",,,"polymarket_logreg_eval_v1","RETRAIN_REQUIRED","LAGS feature variant is not persisted; only BASE features are available.","Snapshot persists only BASE features mid_price,spread,time_left_min; no LAGS artifact or fold-level feature evidence."
"826","ISOTONIC","SEQUENCE",,,,"1",,,"polymarket_logreg_eval_v1","RETRAIN_REQUIRED","SEQUENCE feature variant is not persisted; sequence_coverage=1.0 alone does not prove a persisted sequence artifact.","Snapshot persists only BASE features mid_price,spread,time_left_min; no SEQUENCE artifact or fold-level feature evidence."
"827","RAW","BASE","0,1",,"uniform","1","GROUPED_WALK_FORWARD; fold_id not persisted","87","polymarket_logreg_eval_v1","REPLAY_READY","RAW score is persisted and the OOF artifact is VALID_FOR_REPLAY.","BASE features=mid_price,spread,time_left_min; raw_score=true; artifact is VALID_FOR_REPLAY; protocol=polymarket_logreg_eval_v1; fold_id is not persisted but RAW replay does not require retrospective calibration."
"827","RAW","DERIVED",,,,"1",,,"polymarket_logreg_eval_v1","RETRAIN_REQUIRED","DERIVED feature variant is not persisted; only BASE features are available.","Snapshot persists only BASE features mid_price,spread,time_left_min; no DERIVED artifact or fold-level feature evidence."
"827","RAW","LAGS",,,,"1",,,"polymarket_logreg_eval_v1","RETRAIN_REQUIRED","LAGS feature variant is not persisted; only BASE features are available.","Snapshot persists only BASE features mid_price,spread,time_left_min; no LAGS artifact or fold-level feature evidence."
"827","RAW","SEQUENCE",,,,"1",,,"polymarket_logreg_eval_v1","RETRAIN_REQUIRED","SEQUENCE feature variant is not persisted; sequence_coverage=1.0 alone does not prove a persisted sequence artifact.","Snapshot persists only BASE features mid_price,spread,time_left_min; no SEQUENCE artifact or fold-level feature evidence."
"827","PLATT","BASE","0,1",,"uniform","1","GROUPED_WALK_FORWARD; fold_id not persisted","87","polymarket_logreg_eval_v1","REPLAY_READY","Persisted training_params.calibration_method=PLATT for this candidate.","BASE features=mid_price,spread,time_left_min; persisted PLATT assignment; calibrated_score=true; artifact is VALID_FOR_REPLAY; protocol=polymarket_logreg_eval_v1."
"827","PLATT","DERIVED",,,,"1",,,"polymarket_logreg_eval_v1","RETRAIN_REQUIRED","DERIVED feature variant is not persisted; only BASE features are available.","Snapshot persists only BASE features mid_price,spread,time_left_min; no DERIVED artifact or fold-level feature evidence."
"827","PLATT","LAGS",,,,"1",,,"polymarket_logreg_eval_v1","RETRAIN_REQUIRED","LAGS feature variant is not persisted; only BASE features are available.","Snapshot persists only BASE features mid_price,spread,time_left_min; no LAGS artifact or fold-level feature evidence."
"827","PLATT","SEQUENCE",,,,"1",,,"polymarket_logreg_eval_v1","RETRAIN_REQUIRED","SEQUENCE feature variant is not persisted; sequence_coverage=1.0 alone does not prove a persisted sequence artifact.","Snapshot persists only BASE features mid_price,spread,time_left_min; no SEQUENCE artifact or fold-level feature evidence."
"827","ISOTONIC","BASE","0,1",,"uniform","1","GROUPED_WALK_FORWARD; fold_id not persisted","87","polymarket_logreg_eval_v1","RETRAIN_REQUIRED","ISOTONIC requires retraining with persisted fold_id and calibration membership.","Step 3 commit 79bc49c: fold_id and train/calibration/validation membership are absent for all 60 candidates; no retrospective Isotonic."
"827","ISOTONIC","DERIVED",,,,"1",,,"polymarket_logreg_eval_v1","RETRAIN_REQUIRED","DERIVED feature variant is not persisted; only BASE features are available.","Snapshot persists only BASE features mid_price,spread,time_left_min; no DERIVED artifact or fold-level feature evidence."
"827","ISOTONIC","LAGS",,,,"1",,,"polymarket_logreg_eval_v1","RETRAIN_REQUIRED","LAGS feature variant is not persisted; only BASE features are available.","Snapshot persists only BASE features mid_price,spread,time_left_min; no LAGS artifact or fold-level feature evidence."
"827","ISOTONIC","SEQUENCE",,,,"1",,,"polymarket_logreg_eval_v1","RETRAIN_REQUIRED","SEQUENCE feature variant is not persisted; sequence_coverage=1.0 alone does not prove a persisted sequence artifact.","Snapshot persists only BASE features mid_price,spread,time_left_min; no SEQUENCE artifact or fold-level feature evidence."
