model_registry_id,artifact_id,evaluation_protocol_version,asset,phase,target_coverage,up_lower_threshold,up_upper_threshold,down_lower_threshold,down_upper_threshold,threshold_method,sample_count,trade_count,actual_coverage,future_data_used,status,reason
822,82,polymarket_logreg_eval_v1,BTC,ALL,0.6,,,,,quantile_from_past_only (pending score arrays),,,,false,UNAVAILABLE_WITHOUT_OOF_SCORE_ARRAYS,Local reports contain OOF metadata only; read-only score-array export is required before quantile thresholds can be computed.
822,82,polymarket_logreg_eval_v1,BTC,ALL,0.8,,,,,quantile_from_past_only (pending score arrays),,,,false,UNAVAILABLE_WITHOUT_OOF_SCORE_ARRAYS,Local reports contain OOF metadata only; read-only score-array export is required before quantile thresholds can be computed.
823,83,polymarket_logreg_eval_v1,BTC,decided,0.2,,,,,quantile_from_past_only (pending score arrays),,,,false,UNAVAILABLE_WITHOUT_OOF_SCORE_ARRAYS,Local reports contain OOF metadata only; read-only score-array export is required before quantile thresholds can be computed.
823,83,polymarket_logreg_eval_v1,BTC,decided,0.4,,,,,quantile_from_past_only (pending score arrays),,,,false,UNAVAILABLE_WITHOUT_OOF_SCORE_ARRAYS,Local reports contain OOF metadata only; read-only score-array export is required before quantile thresholds can be computed.
823,83,polymarket_logreg_eval_v1,BTC,decided,0.6,,,,,quantile_from_past_only (pending score arrays),,,,false,UNAVAILABLE_WITHOUT_OOF_SCORE_ARRAYS,Local reports contain OOF metadata only; read-only score-array export is required before quantile thresholds can be computed.
823,83,polymarket_logreg_eval_v1,BTC,decided,0.8,,,,,quantile_from_past_only (pending score arrays),,,,false,UNAVAILABLE_WITHOUT_OOF_SCORE_ARRAYS,Local reports contain OOF metadata only; read-only score-array export is required before quantile thresholds can be computed.
824,84,polymarket_logreg_eval_v1,BTC,decided,0.2,,,,,quantile_from_past_only (pending score arrays),,,,false,UNAVAILABLE_WITHOUT_OOF_SCORE_ARRAYS,Local reports contain OOF metadata only; read-only score-array export is required before quantile thresholds can be computed.
824,84,polymarket_logreg_eval_v1,BTC,decided,0.4,,,,,quantile_from_past_only (pending score arrays),,,,false,UNAVAILABLE_WITHOUT_OOF_SCORE_ARRAYS,Local reports contain OOF metadata only; read-only score-array export is required before quantile thresholds can be computed.
824,84,polymarket_logreg_eval_v1,BTC,decided,0.6,,,,,quantile_from_past_only (pending score arrays),,,,false,UNAVAILABLE_WITHOUT_OOF_SCORE_ARRAYS,Local reports contain OOF metadata only; read-only score-array export is required before quantile thresholds can be computed.
824,84,polymarket_logreg_eval_v1,BTC,decided,0.8,,,,,quantile_from_past_only (pending score arrays),,,,false,UNAVAILABLE_WITHOUT_OOF_SCORE_ARRAYS,Local reports contain OOF metadata only; read-only score-array export is required before quantile thresholds can be computed.
825,85,polymarket_logreg_eval_v1,BTC,decided,0.2,,,,,quantile_from_past_only (pending score arrays),,,,false,UNAVAILABLE_WITHOUT_OOF_SCORE_ARRAYS,Local reports contain OOF metadata only; read-only score-array export is required before quantile thresholds can be computed.
825,85,polymarket_logreg_eval_v1,BTC,decided,0.4,,,,,quantile_from_past_only (pending score arrays),,,,false,UNAVAILABLE_WITHOUT_OOF_SCORE_ARRAYS,Local reports contain OOF metadata only; read-only score-array export is required before quantile thresholds can be computed.
825,85,polymarket_logreg_eval_v1,BTC,decided,0.6,,,,,quantile_from_past_only (pending score arrays),,,,false,UNAVAILABLE_WITHOUT_OOF_SCORE_ARRAYS,Local reports contain OOF metadata only; read-only score-array export is required before quantile thresholds can be computed.
825,85,polymarket_logreg_eval_v1,BTC,decided,0.8,,,,,quantile_from_past_only (pending score arrays),,,,false,UNAVAILABLE_WITHOUT_OOF_SCORE_ARRAYS,Local reports contain OOF metadata only; read-only score-array export is required before quantile thresholds can be computed.
826,86,polymarket_logreg_eval_v1,BTC,leaning,0.2,,,,,quantile_from_past_only (pending score arrays),,,,false,UNAVAILABLE_WITHOUT_OOF_SCORE_ARRAYS,Local reports contain OOF metadata only; read-only score-array export is required before quantile thresholds can be computed.
826,86,polymarket_logreg_eval_v1,BTC,leaning,0.4,,,,,quantile_from_past_only (pending score arrays),,,,false,UNAVAILABLE_WITHOUT_OOF_SCORE_ARRAYS,Local reports contain OOF metadata only; read-only score-array export is required before quantile thresholds can be computed.
826,86,polymarket_logreg_eval_v1,BTC,leaning,0.6,,,,,quantile_from_past_only (pending score arrays),,,,false,UNAVAILABLE_WITHOUT_OOF_SCORE_ARRAYS,Local reports contain OOF metadata only; read-only score-array export is required before quantile thresholds can be computed.
826,86,polymarket_logreg_eval_v1,BTC,leaning,0.8,,,,,quantile_from_past_only (pending score arrays),,,,false,UNAVAILABLE_WITHOUT_OOF_SCORE_ARRAYS,Local reports contain OOF metadata only; read-only score-array export is required before quantile thresholds can be computed.
827,87,polymarket_logreg_eval_v1,BTC,leaning,0.2,,,,,quantile_from_past_only (pending score arrays),,,,false,UNAVAILABLE_WITHOUT_OOF_SCORE_ARRAYS,Local reports contain OOF metadata only; read-only score-array export is required before quantile thresholds can be computed.
827,87,polymarket_logreg_eval_v1,BTC,leaning,0.4,,,,,quantile_from_past_only (pending score arrays),,,,false,UNAVAILABLE_WITHOUT_OOF_SCORE_ARRAYS,Local reports contain OOF metadata only; read-only score-array export is required before quantile thresholds can be computed.
827,87,polymarket_logreg_eval_v1,BTC,leaning,0.6,,,,,quantile_from_past_only (pending score arrays),,,,false,UNAVAILABLE_WITHOUT_OOF_SCORE_ARRAYS,Local reports contain OOF metadata only; read-only score-array export is required before quantile thresholds can be computed.
827,87,polymarket_logreg_eval_v1,BTC,leaning,0.8,,,,,quantile_from_past_only (pending score arrays),,,,false,UNAVAILABLE_WITHOUT_OOF_SCORE_ARRAYS,Local reports contain OOF metadata only; read-only score-array export is required before quantile thresholds can be computed.
828,88,polymarket_logreg_eval_v1,BTC,leaning,0.2,,,,,quantile_from_past_only (pending score arrays),,,,false,UNAVAILABLE_WITHOUT_OOF_SCORE_ARRAYS,Local reports contain OOF metadata only; read-only score-array export is required before quantile thresholds can be computed.
828,88,polymarket_logreg_eval_v1,BTC,leaning,0.4,,,,,quantile_from_past_only (pending score arrays),,,,false,UNAVAILABLE_WITHOUT_OOF_SCORE_ARRAYS,Local reports contain OOF metadata only; read-only score-array export is required before quantile thresholds can be computed.
828,88,polymarket_logreg_eval_v1,BTC,leaning,0.6,,,,,quantile_from_past_only (pending score arrays),,,,false,UNAVAILABLE_WITHOUT_OOF_SCORE_ARRAYS,Local reports contain OOF metadata only; read-only score-array export is required before quantile thresholds can be computed.
828,88,polymarket_logreg_eval_v1,BTC,leaning,0.8,,,,,quantile_from_past_only (pending score arrays),,,,false,UNAVAILABLE_WITHOUT_OOF_SCORE_ARRAYS,Local reports contain OOF metadata only; read-only score-array export is required before quantile thresholds can be computed.
829,89,polymarket_logreg_eval_v1,BTC,contested,0.2,,,,,quantile_from_past_only (pending score arrays),,,,false,UNAVAILABLE_WITHOUT_OOF_SCORE_ARRAYS,Local reports contain OOF metadata only; read-only score-array export is required before quantile thresholds can be computed.
829,89,polymarket_logreg_eval_v1,BTC,contested,0.4,,,,,quantile_from_past_only (pending score arrays),,,,false,UNAVAILABLE_WITHOUT_OOF_SCORE_ARRAYS,Local reports contain OOF metadata only; read-only score-array export is required before quantile thresholds can be computed.
829,89,polymarket_logreg_eval_v1,BTC,contested,0.6,,,,,quantile_from_past_only (pending score arrays),,,,false,UNAVAILABLE_WITHOUT_OOF_SCORE_ARRAYS,Local reports contain OOF metadata only; read-only score-array export is required before quantile thresholds can be computed.
829,89,polymarket_logreg_eval_v1,BTC,contested,0.8,,,,,quantile_from_past_only (pending score arrays),,,,false,UNAVAILABLE_WITHOUT_OOF_SCORE_ARRAYS,Local reports contain OOF metadata only; read-only score-array export is required before quantile thresholds can be computed.
830,90,polymarket_logreg_eval_v1,BTC,contested,0.2,,,,,quantile_from_past_only (pending score arrays),,,,false,UNAVAILABLE_WITHOUT_OOF_SCORE_ARRAYS,Local reports contain OOF metadata only; read-only score-array export is required before quantile thresholds can be computed.
830,90,polymarket_logreg_eval_v1,BTC,contested,0.4,,,,,quantile_from_past_only (pending score arrays),,,,false,UNAVAILABLE_WITHOUT_OOF_SCORE_ARRAYS,Local reports contain OOF metadata only; read-only score-array export is required before quantile thresholds can be computed.
830,90,polymarket_logreg_eval_v1,BTC,contested,0.6,,,,,quantile_from_past_only (pending score arrays),,,,false,UNAVAILABLE_WITHOUT_OOF_SCORE_ARRAYS,Local reports contain OOF metadata only; read-only score-array export is required before quantile thresholds can be computed.
830,90,polymarket_logreg_eval_v1,BTC,contested,0.8,,,,,quantile_from_past_only (pending score arrays),,,,false,UNAVAILABLE_WITHOUT_OOF_SCORE_ARRAYS,Local reports contain OOF metadata only; read-only score-array export is required before quantile thresholds can be computed.
831,91,polymarket_logreg_eval_v1,BTC,contested,0.2,,,,,quantile_from_past_only (pending score arrays),,,,false,UNAVAILABLE_WITHOUT_OOF_SCORE_ARRAYS,Local reports contain OOF metadata only; read-only score-array export is required before quantile thresholds can be computed.
831,91,polymarket_logreg_eval_v1,BTC,contested,0.4,,,,,quantile_from_past_only (pending score arrays),,,,false,UNAVAILABLE_WITHOUT_OOF_SCORE_ARRAYS,Local reports contain OOF metadata only; read-only score-array export is required before quantile thresholds can be computed.
831,91,polymarket_logreg_eval_v1,BTC,contested,0.6,,,,,quantile_from_past_only (pending score arrays),,,,false,UNAVAILABLE_WITHOUT_OOF_SCORE_ARRAYS,Local reports contain OOF metadata only; read-only score-array export is required before quantile thresholds can be computed.
831,91,polymarket_logreg_eval_v1,BTC,contested,0.8,,,,,quantile_from_past_only (pending score arrays),,,,false,UNAVAILABLE_WITHOUT_OOF_SCORE_ARRAYS,Local reports contain OOF metadata only; read-only score-array export is required before quantile thresholds can be computed.
832,92,polymarket_logreg_eval_v1,ETH,ALL,0.2,,,,,quantile_from_past_only (pending score arrays),,,,false,UNAVAILABLE_WITHOUT_OOF_SCORE_ARRAYS,Local reports contain OOF metadata only; read-only score-array export is required before quantile thresholds can be computed.
832,92,polymarket_logreg_eval_v1,ETH,ALL,0.4,,,,,quantile_from_past_only (pending score arrays),,,,false,UNAVAILABLE_WITHOUT_OOF_SCORE_ARRAYS,Local reports contain OOF metadata only; read-only score-array export is required before quantile thresholds can be computed.
832,92,polymarket_logreg_eval_v1,ETH,ALL,0.6,,,,,quantile_from_past_only (pending score arrays),,,,false,UNAVAILABLE_WITHOUT_OOF_SCORE_ARRAYS,Local reports contain OOF metadata only; read-only score-array export is required before quantile thresholds can be computed.
832,92,polymarket_logreg_eval_v1,ETH,ALL,0.8,,,,,quantile_from_past_only (pending score arrays),,,,false,UNAVAILABLE_WITHOUT_OOF_SCORE_ARRAYS,Local reports contain OOF metadata only; read-only score-array export is required before quantile thresholds can be computed.
833,93,polymarket_logreg_eval_v1,ETH,ALL,0.2,,,,,quantile_from_past_only (pending score arrays),,,,false,UNAVAILABLE_WITHOUT_OOF_SCORE_ARRAYS,Local reports contain OOF metadata only; read-only score-array export is required before quantile thresholds can be computed.
833,93,polymarket_logreg_eval_v1,ETH,ALL,0.4,,,,,quantile_from_past_only (pending score arrays),,,,false,UNAVAILABLE_WITHOUT_OOF_SCORE_ARRAYS,Local reports contain OOF metadata only; read-only score-array export is required before quantile thresholds can be computed.
833,93,polymarket_logreg_eval_v1,ETH,ALL,0.6,,,,,quantile_from_past_only (pending score arrays),,,,false,UNAVAILABLE_WITHOUT_OOF_SCORE_ARRAYS,Local reports contain OOF metadata only; read-only score-array export is required before quantile thresholds can be computed.
833,93,polymarket_logreg_eval_v1,ETH,ALL,0.8,,,,,quantile_from_past_only (pending score arrays),,,,false,UNAVAILABLE_WITHOUT_OOF_SCORE_ARRAYS,Local reports contain OOF metadata only; read-only score-array export is required before quantile thresholds can be computed.
834,94,polymarket_logreg_eval_v1,ETH,ALL,0.2,,,,,quantile_from_past_only (pending score arrays),,,,false,UNAVAILABLE_WITHOUT_OOF_SCORE_ARRAYS,Local reports contain OOF metadata only; read-only score-array export is required before quantile thresholds can be computed.
834,94,polymarket_logreg_eval_v1,ETH,ALL,0.4,,,,,quantile_from_past_only (pending score arrays),,,,false,UNAVAILABLE_WITHOUT_OOF_SCORE_ARRAYS,Local reports contain OOF metadata only; read-only score-array export is required before quantile thresholds can be computed.
834,94,polymarket_logreg_eval_v1,ETH,ALL,0.6,,,,,quantile_from_past_only (pending score arrays),,,,false,UNAVAILABLE_WITHOUT_OOF_SCORE_ARRAYS,Local reports contain OOF metadata only; read-only score-array export is required before quantile thresholds can be computed.
834,94,polymarket_logreg_eval_v1,ETH,ALL,0.8,,,,,quantile_from_past_only (pending score arrays),,,,false,UNAVAILABLE_WITHOUT_OOF_SCORE_ARRAYS,Local reports contain OOF metadata only; read-only score-array export is required before quantile thresholds can be computed.
835,95,polymarket_logreg_eval_v1,ETH,decided,0.2,,,,,quantile_from_past_only (pending score arrays),,,,false,UNAVAILABLE_WITHOUT_OOF_SCORE_ARRAYS,Local reports contain OOF metadata only; read-only score-array export is required before quantile thresholds can be computed.
835,95,polymarket_logreg_eval_v1,ETH,decided,0.4,,,,,quantile_from_past_only (pending score arrays),,,,false,UNAVAILABLE_WITHOUT_OOF_SCORE_ARRAYS,Local reports contain OOF metadata only; read-only score-array export is required before quantile thresholds can be computed.
835,95,polymarket_logreg_eval_v1,ETH,decided,0.6,,,,,quantile_from_past_only (pending score arrays),,,,false,UNAVAILABLE_WITHOUT_OOF_SCORE_ARRAYS,Local reports contain OOF metadata only; read-only score-array export is required before quantile thresholds can be computed.
835,95,polymarket_logreg_eval_v1,ETH,decided,0.8,,,,,quantile_from_past_only (pending score arrays),,,,false,UNAVAILABLE_WITHOUT_OOF_SCORE_ARRAYS,Local reports contain OOF metadata only; read-only score-array export is required before quantile thresholds can be computed.
836,96,polymarket_logreg_eval_v1,ETH,decided,0.2,,,,,quantile_from_past_only (pending score arrays),,,,false,UNAVAILABLE_WITHOUT_OOF_SCORE_ARRAYS,Local reports contain OOF metadata only; read-only score-array export is required before quantile thresholds can be computed.
836,96,polymarket_logreg_eval_v1,ETH,decided,0.4,,,,,quantile_from_past_only (pending score arrays),,,,false,UNAVAILABLE_WITHOUT_OOF_SCORE_ARRAYS,Local reports contain OOF metadata only; read-only score-array export is required before quantile thresholds can be computed.
836,96,polymarket_logreg_eval_v1,ETH,decided,0.6,,,,,quantile_from_past_only (pending score arrays),,,,false,UNAVAILABLE_WITHOUT_OOF_SCORE_ARRAYS,Local reports contain OOF metadata only; read-only score-array export is required before quantile thresholds can be computed.
836,96,polymarket_logreg_eval_v1,ETH,decided,0.8,,,,,quantile_from_past_only (pending score arrays),,,,false,UNAVAILABLE_WITHOUT_OOF_SCORE_ARRAYS,Local reports contain OOF metadata only; read-only score-array export is required before quantile thresholds can be computed.
837,97,polymarket_logreg_eval_v1,ETH,decided,0.2,,,,,quantile_from_past_only (pending score arrays),,,,false,UNAVAILABLE_WITHOUT_OOF_SCORE_ARRAYS,Local reports contain OOF metadata only; read-only score-array export is required before quantile thresholds can be computed.
837,97,polymarket_logreg_eval_v1,ETH,decided,0.4,,,,,quantile_from_past_only (pending score arrays),,,,false,UNAVAILABLE_WITHOUT_OOF_SCORE_ARRAYS,Local reports contain OOF metadata only; read-only score-array export is required before quantile thresholds can be computed.
837,97,polymarket_logreg_eval_v1,ETH,decided,0.6,,,,,quantile_from_past_only (pending score arrays),,,,false,UNAVAILABLE_WITHOUT_OOF_SCORE_ARRAYS,Local reports contain OOF metadata only; read-only score-array export is required before quantile thresholds can be computed.
837,97,polymarket_logreg_eval_v1,ETH,decided,0.8,,,,,quantile_from_past_only (pending score arrays),,,,false,UNAVAILABLE_WITHOUT_OOF_SCORE_ARRAYS,Local reports contain OOF metadata only; read-only score-array export is required before quantile thresholds can be computed.
838,98,polymarket_logreg_eval_v1,ETH,leaning,0.2,,,,,quantile_from_past_only (pending score arrays),,,,false,UNAVAILABLE_WITHOUT_OOF_SCORE_ARRAYS,Local reports contain OOF metadata only; read-only score-array export is required before quantile thresholds can be computed.
838,98,polymarket_logreg_eval_v1,ETH,leaning,0.4,,,,,quantile_from_past_only (pending score arrays),,,,false,UNAVAILABLE_WITHOUT_OOF_SCORE_ARRAYS,Local reports contain OOF metadata only; read-only score-array export is required before quantile thresholds can be computed.
838,98,polymarket_logreg_eval_v1,ETH,leaning,0.6,,,,,quantile_from_past_only (pending score arrays),,,,false,UNAVAILABLE_WITHOUT_OOF_SCORE_ARRAYS,Local reports contain OOF metadata only; read-only score-array export is required before quantile thresholds can be computed.
838,98,polymarket_logreg_eval_v1,ETH,leaning,0.8,,,,,quantile_from_past_only (pending score arrays),,,,false,UNAVAILABLE_WITHOUT_OOF_SCORE_ARRAYS,Local reports contain OOF metadata only; read-only score-array export is required before quantile thresholds can be computed.
839,99,polymarket_logreg_eval_v1,ETH,leaning,0.2,,,,,quantile_from_past_only (pending score arrays),,,,false,UNAVAILABLE_WITHOUT_OOF_SCORE_ARRAYS,Local reports contain OOF metadata only; read-only score-array export is required before quantile thresholds can be computed.
839,99,polymarket_logreg_eval_v1,ETH,leaning,0.4,,,,,quantile_from_past_only (pending score arrays),,,,false,UNAVAILABLE_WITHOUT_OOF_SCORE_ARRAYS,Local reports contain OOF metadata only; read-only score-array export is required before quantile thresholds can be computed.
839,99,polymarket_logreg_eval_v1,ETH,leaning,0.6,,,,,quantile_from_past_only (pending score arrays),,,,false,UNAVAILABLE_WITHOUT_OOF_SCORE_ARRAYS,Local reports contain OOF metadata only; read-only score-array export is required before quantile thresholds can be computed.
839,99,polymarket_logreg_eval_v1,ETH,leaning,0.8,,,,,quantile_from_past_only (pending score arrays),,,,false,UNAVAILABLE_WITHOUT_OOF_SCORE_ARRAYS,Local reports contain OOF metadata only; read-only score-array export is required before quantile thresholds can be computed.
840,100,polymarket_logreg_eval_v1,ETH,leaning,0.2,,,,,quantile_from_past_only (pending score arrays),,,,false,UNAVAILABLE_WITHOUT_OOF_SCORE_ARRAYS,Local reports contain OOF metadata only; read-only score-array export is required before quantile thresholds can be computed.
840,100,polymarket_logreg_eval_v1,ETH,leaning,0.4,,,,,quantile_from_past_only (pending score arrays),,,,false,UNAVAILABLE_WITHOUT_OOF_SCORE_ARRAYS,Local reports contain OOF metadata only; read-only score-array export is required before quantile thresholds can be computed.
840,100,polymarket_logreg_eval_v1,ETH,leaning,0.6,,,,,quantile_from_past_only (pending score arrays),,,,false,UNAVAILABLE_WITHOUT_OOF_SCORE_ARRAYS,Local reports contain OOF metadata only; read-only score-array export is required before quantile thresholds can be computed.
840,100,polymarket_logreg_eval_v1,ETH,leaning,0.8,,,,,quantile_from_past_only (pending score arrays),,,,false,UNAVAILABLE_WITHOUT_OOF_SCORE_ARRAYS,Local reports contain OOF metadata only; read-only score-array export is required before quantile thresholds can be computed.
841,101,polymarket_logreg_eval_v1,ETH,contested,0.2,,,,,quantile_from_past_only (pending score arrays),,,,false,UNAVAILABLE_WITHOUT_OOF_SCORE_ARRAYS,Local reports contain OOF metadata only; read-only score-array export is required before quantile thresholds can be computed.
841,101,polymarket_logreg_eval_v1,ETH,contested,0.4,,,,,quantile_from_past_only (pending score arrays),,,,false,UNAVAILABLE_WITHOUT_OOF_SCORE_ARRAYS,Local reports contain OOF metadata only; read-only score-array export is required before quantile thresholds can be computed.
841,101,polymarket_logreg_eval_v1,ETH,contested,0.6,,,,,quantile_from_past_only (pending score arrays),,,,false,UNAVAILABLE_WITHOUT_OOF_SCORE_ARRAYS,Local reports contain OOF metadata only; read-only score-array export is required before quantile thresholds can be computed.
841,101,polymarket_logreg_eval_v1,ETH,contested,0.8,,,,,quantile_from_past_only (pending score arrays),,,,false,UNAVAILABLE_WITHOUT_OOF_SCORE_ARRAYS,Local reports contain OOF metadata only; read-only score-array export is required before quantile thresholds can be computed.
842,102,polymarket_logreg_eval_v1,ETH,contested,0.2,,,,,quantile_from_past_only (pending score arrays),,,,false,UNAVAILABLE_WITHOUT_OOF_SCORE_ARRAYS,Local reports contain OOF metadata only; read-only score-array export is required before quantile thresholds can be computed.
842,102,polymarket_logreg_eval_v1,ETH,contested,0.4,,,,,quantile_from_past_only (pending score arrays),,,,false,UNAVAILABLE_WITHOUT_OOF_SCORE_ARRAYS,Local reports contain OOF metadata only; read-only score-array export is required before quantile thresholds can be computed.
842,102,polymarket_logreg_eval_v1,ETH,contested,0.6,,,,,quantile_from_past_only (pending score arrays),,,,false,UNAVAILABLE_WITHOUT_OOF_SCORE_ARRAYS,Local reports contain OOF metadata only; read-only score-array export is required before quantile thresholds can be computed.
842,102,polymarket_logreg_eval_v1,ETH,contested,0.8,,,,,quantile_from_past_only (pending score arrays),,,,false,UNAVAILABLE_WITHOUT_OOF_SCORE_ARRAYS,Local reports contain OOF metadata only; read-only score-array export is required before quantile thresholds can be computed.
843,103,polymarket_logreg_eval_v1,ETH,contested,0.2,,,,,quantile_from_past_only (pending score arrays),,,,false,UNAVAILABLE_WITHOUT_OOF_SCORE_ARRAYS,Local reports contain OOF metadata only; read-only score-array export is required before quantile thresholds can be computed.
843,103,polymarket_logreg_eval_v1,ETH,contested,0.4,,,,,quantile_from_past_only (pending score arrays),,,,false,UNAVAILABLE_WITHOUT_OOF_SCORE_ARRAYS,Local reports contain OOF metadata only; read-only score-array export is required before quantile thresholds can be computed.
843,103,polymarket_logreg_eval_v1,ETH,contested,0.6,,,,,quantile_from_past_only (pending score arrays),,,,false,UNAVAILABLE_WITHOUT_OOF_SCORE_ARRAYS,Local reports contain OOF metadata only; read-only score-array export is required before quantile thresholds can be computed.
843,103,polymarket_logreg_eval_v1,ETH,contested,0.8,,,,,quantile_from_past_only (pending score arrays),,,,false,UNAVAILABLE_WITHOUT_OOF_SCORE_ARRAYS,Local reports contain OOF metadata only; read-only score-array export is required before quantile thresholds can be computed.
844,104,polymarket_logreg_eval_v1,SOL,ALL,0.2,,,,,quantile_from_past_only (pending score arrays),,,,false,UNAVAILABLE_WITHOUT_OOF_SCORE_ARRAYS,Local reports contain OOF metadata only; read-only score-array export is required before quantile thresholds can be computed.
844,104,polymarket_logreg_eval_v1,SOL,ALL,0.4,,,,,quantile_from_past_only (pending score arrays),,,,false,UNAVAILABLE_WITHOUT_OOF_SCORE_ARRAYS,Local reports contain OOF metadata only; read-only score-array export is required before quantile thresholds can be computed.
844,104,polymarket_logreg_eval_v1,SOL,ALL,0.6,,,,,quantile_from_past_only (pending score arrays),,,,false,UNAVAILABLE_WITHOUT_OOF_SCORE_ARRAYS,Local reports contain OOF metadata only; read-only score-array export is required before quantile thresholds can be computed.
844,104,polymarket_logreg_eval_v1,SOL,ALL,0.8,,,,,quantile_from_past_only (pending score arrays),,,,false,UNAVAILABLE_WITHOUT_OOF_SCORE_ARRAYS,Local reports contain OOF metadata only; read-only score-array export is required before quantile thresholds can be computed.
845,105,polymarket_logreg_eval_v1,SOL,ALL,0.2,,,,,quantile_from_past_only (pending score arrays),,,,false,UNAVAILABLE_WITHOUT_OOF_SCORE_ARRAYS,Local reports contain OOF metadata only; read-only score-array export is required before quantile thresholds can be computed.
845,105,polymarket_logreg_eval_v1,SOL,ALL,0.4,,,,,quantile_from_past_only (pending score arrays),,,,false,UNAVAILABLE_WITHOUT_OOF_SCORE_ARRAYS,Local reports contain OOF metadata only; read-only score-array export is required before quantile thresholds can be computed.
845,105,polymarket_logreg_eval_v1,SOL,ALL,0.6,,,,,quantile_from_past_only (pending score arrays),,,,false,UNAVAILABLE_WITHOUT_OOF_SCORE_ARRAYS,Local reports contain OOF metadata only; read-only score-array export is required before quantile thresholds can be computed.
845,105,polymarket_logreg_eval_v1,SOL,ALL,0.8,,,,,quantile_from_past_only (pending score arrays),,,,false,UNAVAILABLE_WITHOUT_OOF_SCORE_ARRAYS,Local reports contain OOF metadata only; read-only score-array export is required before quantile thresholds can be computed.
846,106,polymarket_logreg_eval_v1,SOL,ALL,0.2,,,,,quantile_from_past_only (pending score arrays),,,,false,UNAVAILABLE_WITHOUT_OOF_SCORE_ARRAYS,Local reports contain OOF metadata only; read-only score-array export is required before quantile thresholds can be computed.
846,106,polymarket_logreg_eval_v1,SOL,ALL,0.4,,,,,quantile_from_past_only (pending score arrays),,,,false,UNAVAILABLE_WITHOUT_OOF_SCORE_ARRAYS,Local reports contain OOF metadata only; read-only score-array export is required before quantile thresholds can be computed.
846,106,polymarket_logreg_eval_v1,SOL,ALL,0.6,,,,,quantile_from_past_only (pending score arrays),,,,false,UNAVAILABLE_WITHOUT_OOF_SCORE_ARRAYS,Local reports contain OOF metadata only; read-only score-array export is required before quantile thresholds can be computed.
846,106,polymarket_logreg_eval_v1,SOL,ALL,0.8,,,,,quantile_from_past_only (pending score arrays),,,,false,UNAVAILABLE_WITHOUT_OOF_SCORE_ARRAYS,Local reports contain OOF metadata only; read-only score-array export is required before quantile thresholds can be computed.
